Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Proportion of children moderately or severely stunted [2.2.1],,Percent,,37.4
2019,Proportion of children moderately or severely stunted [2.2.1],,Percent,,31.5
2019,Proportion of children moderately or severely stunted [2.2.1],Province 1,Percent,NP1,24.9
2019,Proportion of children moderately or severely stunted [2.2.1],Madhesh,Percent,NP2,34.2
2019,Proportion of children moderately or severely stunted [2.2.1],Bagmati,Percent,NP3,22.9
2019,Proportion of children moderately or severely stunted [2.2.1],Gandaki,Percent,NP4,22.6
2019,Proportion of children moderately or severely stunted [2.2.1],Lumbini,Percent,NP5,35.5
2019,Proportion of children moderately or severely stunted [2.2.1],Karnali,Percent,NP6,47.8
2019,Proportion of children moderately or severely stunted [2.2.1],Sudurpashchim,Percent,NP7,40.9
2014,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],,Percent,,15.8
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],,Percent,,11.8
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Province 1,Percent,NP1,8.0
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Madhesh,Percent,NP2,14.8
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Bagmati,Percent,NP3,7.3
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Gandaki,Percent,NP4,6.4
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Lumbini,Percent,NP5,13.0
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Karnali,Percent,NP6,20.5
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median height for age of the WHO standard [2.2.1],Sudurpashchim,Percent,NP7,15.4
