Year,SERIES,Reference area,Age,UNIT_MEASURE,GeoCode,Value
2014,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel [3.8.1],,15 to 49 years old,Percent,,68.3
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel [3.8.1],,15 to 49 years old,Percent,,88.8
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel [3.8.1],Province 1,15 to 49 years old,Percent,NP1,84.2
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel [3.8.1],Madhesh,15 to 49 years old,Percent,NP2,86.1
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel [3.8.1],Bagmati,15 to 49 years old,Percent,NP3,90.6
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel [3.8.1],Gandaki,15 to 49 years old,Percent,NP4,86.9
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel [3.8.1],Lumbini,15 to 49 years old,Percent,NP5,92.4
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel [3.8.1],Karnali,15 to 49 years old,Percent,NP6,85.1
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least once by skilled health personnel [3.8.1],Sudurpashchim,15 to 49 years old,Percent,NP7,95.9
2014,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider [3.8.1],,15 to 49 years old,Percent,,59.5
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider [3.8.1],,15 to 49 years old,Percent,,77.8
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider [3.8.1],Province 1,15 to 49 years old,Percent,NP1,80.3
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider [3.8.1],Madhesh,15 to 49 years old,Percent,NP2,56.8
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider [3.8.1],Bagmati,15 to 49 years old,Percent,NP3,87.2
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider [3.8.1],Gandaki,15 to 49 years old,Percent,NP4,91.2
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider [3.8.1],Lumbini,15 to 49 years old,Percent,NP5,80.7
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider [3.8.1],Karnali,15 to 49 years old,Percent,NP6,72.3
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended at least four times by any provider [3.8.1],Sudurpashchim,15 to 49 years old,Percent,NP7,88.0
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended aat least eight times by any provider [3.8.1],,15 to 49 years old,Percent,,5.4
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended aat least eight times by any provider [3.8.1],Province 1,15 to 49 years old,Percent,NP1,3.9
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended aat least eight times by any provider [3.8.1],Madhesh,15 to 49 years old,Percent,NP2,5.3
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended aat least eight times by any provider [3.8.1],Bagmati,15 to 49 years old,Percent,NP3,15.6
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended aat least eight times by any provider [3.8.1],Gandaki,15 to 49 years old,Percent,NP4,3.7
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended aat least eight times by any provider [3.8.1],Lumbini,15 to 49 years old,Percent,NP5,1.4
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended aat least eight times by any provider [3.8.1],Karnali,15 to 49 years old,Percent,NP6,0.9
2019,Percentage of women age 15-49 years with a live birth in the last 2 years who during the pregnancy of the most recent live birth were attended aat least eight times by any provider [3.8.1],Sudurpashchim,15 to 49 years old,Percent,NP7,0.0
2014,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider [3.8.1],,,Percent,,50.1
2019,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider [3.8.1],,,Percent,,82.0
2019,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider [3.8.1],Bagmati,,Percent,NP3,-69.1
2019,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider [3.8.1],Lumbini,,Percent,NP5,-94.3
2019,Percentage of children under age 5 with ARI symptoms in the last 2 weeks for whom advice or treatment was sought from a health facility or provider [3.8.1],Sudurpashchim,,Percent,NP7,-94.2
