Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2014,Proportion of children moderately or severely wasted [2.2.2],,Percent,,11.3
2019,Proportion of children moderately or severely wasted [2.2.2],,Percent,,12.0
2019,Proportion of children moderately or severely wasted [2.2.2],Province 1,Percent,NP1,14.3
2019,Proportion of children moderately or severely wasted [2.2.2],Madhesh,Percent,NP2,13.9
2019,Proportion of children moderately or severely wasted [2.2.2],Bagmati,Percent,NP3,4.7
2019,Proportion of children moderately or severely wasted [2.2.2],Gandaki,Percent,NP4,8.0
2019,Proportion of children moderately or severely wasted [2.2.2],Lumbini,Percent,NP5,13.7
2019,Proportion of children moderately or severely wasted [2.2.2],Karnali,Percent,NP6,17.6
2019,Proportion of children moderately or severely wasted [2.2.2],Sudurpashchim,Percent,NP7,14.1
2014,Proportion of children moderately or severely overweight [2.2.2],,Percent,,2.1
2019,Proportion of children moderately or severely overweight [2.2.2],,Percent,,2.6
2019,Proportion of children moderately or severely overweight [2.2.2],Province 1,Percent,NP1,0.9
2019,Proportion of children moderately or severely overweight [2.2.2],Madhesh,Percent,NP2,3.8
2019,Proportion of children moderately or severely overweight [2.2.2],Bagmati,Percent,NP3,3.4
2019,Proportion of children moderately or severely overweight [2.2.2],Gandaki,Percent,NP4,3.0
2019,Proportion of children moderately or severely overweight [2.2.2],Lumbini,Percent,NP5,1.9
2019,Proportion of children moderately or severely overweight [2.2.2],Karnali,Percent,NP6,3.7
2019,Proportion of children moderately or severely overweight [2.2.2],Sudurpashchim,Percent,NP7,1.3
2014,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],,Percent,,3.2
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],,Percent,,2.9
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Province 1,Percent,NP1,2.7
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Madhesh,Percent,NP2,3.9
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Bagmati,Percent,NP3,1.1
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Gandaki,Percent,NP4,1.8
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Lumbini,Percent,NP5,3.6
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Karnali,Percent,NP6,3.9
2019,Percentage of children under age 5 who fall below minus three standard deviations (severe) of the median weight for age of the WHO standard [2.2.2],Sudurpashchim,Percent,NP7,3.6
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],,Percent,,1.0
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Province 1,Percent,NP1,0.2
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Madhesh,Percent,NP2,1.5
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Bagmati,Percent,NP3,1.4
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Gandaki,Percent,NP4,2.0
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Lumbini,Percent,NP5,0.5
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Karnali,Percent,NP6,1.2
2019,Percentage of children under age 5 who are above three standard deviations (severe) of the median weight for height of the WHO standard [2.2.2],Sudurpashchim,Percent,NP7,0.3
