Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],,Percent,,40.0
2019,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Province 1,Percent,NP1,38.6
2019,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Madhesh,Percent,NP2,22.1
2019,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Bagmati,Percent,NP3,42.3
2019,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Gandaki,Percent,NP4,57.4
2019,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Lumbini,Percent,NP5,55.7
2019,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Karnali,Percent,NP6,36.5
2019,Proportion of the target population covered by all vaccines included in their national programme [3.b.1],Sudurpashchim,Percent,NP7,40.3
2014,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey [3.b.1],,Percent,,67.1
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey [3.b.1],,Percent,,70.2
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey [3.b.1],Province 1,Percent,NP1,71.6
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey [3.b.1],Madhesh,Percent,NP2,52.8
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey [3.b.1],Bagmati,Percent,NP3,79.6
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey [3.b.1],Gandaki,Percent,NP4,87.9
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey [3.b.1],Lumbini,Percent,NP5,73.3
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey [3.b.1],Karnali,Percent,NP6,70.0
2019,Percentage of children who at age 12-23 months had received all basic vaccinations at any time before the survey [3.b.1],Sudurpashchim,Percent,NP7,66.0
