Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Female,15 to 24 years old,Percent,,10.0
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Male,15 to 24 years old,Percent,,20.4
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Female,15 to 49 years old,Percent,,5.9
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Province 1,Female,15 to 49 years old,Percent,NP1,3.6
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Madhesh,Female,15 to 49 years old,Percent,NP2,2.7
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Bagmati,Female,15 to 49 years old,Percent,NP3,13.9
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Gandaki,Female,15 to 49 years old,Percent,NP4,6.4
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Lumbini,Female,15 to 49 years old,Percent,NP5,2.9
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Karnali,Female,15 to 49 years old,Percent,NP6,1.2
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Sudurpashchim,Female,15 to 49 years old,Percent,NP7,2.6
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],,Male,15 to 49 years old,Percent,,15.5
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Province 1,Male,15 to 49 years old,Percent,NP1,10.8
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Madhesh,Male,15 to 49 years old,Percent,NP2,7.4
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Bagmati,Male,15 to 49 years old,Percent,NP3,28.8
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Gandaki,Male,15 to 49 years old,Percent,NP4,12.6
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Lumbini,Male,15 to 49 years old,Percent,NP5,12.8
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Karnali,Male,15 to 49 years old,Percent,NP6,6.5
2019,Proportion of youth and adults with information and communications technology (ICT) skills [4.4.1],Sudurpashchim,Male,15 to 49 years old,Percent,NP7,12.2
