Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2019,Proportion of individuals who own a mobile telephone [5.b.1],,Female,15 to 49 years old,Percent,,79.3
2019,Proportion of individuals who own a mobile telephone [5.b.1],Province 1,Female,15 to 49 years old,Percent,NP1,80.0
2019,Proportion of individuals who own a mobile telephone [5.b.1],Madhesh,Female,15 to 49 years old,Percent,NP2,62.9
2019,Proportion of individuals who own a mobile telephone [5.b.1],Bagmati,Female,15 to 49 years old,Percent,NP3,90.9
2019,Proportion of individuals who own a mobile telephone [5.b.1],Gandaki,Female,15 to 49 years old,Percent,NP4,91.8
2019,Proportion of individuals who own a mobile telephone [5.b.1],Lumbini,Female,15 to 49 years old,Percent,NP5,77.2
2019,Proportion of individuals who own a mobile telephone [5.b.1],Karnali,Female,15 to 49 years old,Percent,NP6,71.8
2019,Proportion of individuals who own a mobile telephone [5.b.1],Sudurpashchim,Female,15 to 49 years old,Percent,NP7,74.4
2019,Proportion of individuals who own a mobile telephone [5.b.1],,Male,15 to 49 years old,Percent,,91.4
2019,Proportion of individuals who own a mobile telephone [5.b.1],Province 1,Male,15 to 49 years old,Percent,NP1,88.1
2019,Proportion of individuals who own a mobile telephone [5.b.1],Madhesh,Male,15 to 49 years old,Percent,NP2,88.3
2019,Proportion of individuals who own a mobile telephone [5.b.1],Bagmati,Male,15 to 49 years old,Percent,NP3,95.3
2019,Proportion of individuals who own a mobile telephone [5.b.1],Gandaki,Male,15 to 49 years old,Percent,NP4,95.1
2019,Proportion of individuals who own a mobile telephone [5.b.1],Lumbini,Male,15 to 49 years old,Percent,NP5,92.3
2019,Proportion of individuals who own a mobile telephone [5.b.1],Karnali,Male,15 to 49 years old,Percent,NP6,88.3
2019,Proportion of individuals who own a mobile telephone [5.b.1],Sudurpashchim,Male,15 to 49 years old,Percent,NP7,88.2
