Year,SERIES,Reference area,Age,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2017,"Proportion of youth not in education, employment or training [8.6.1]",,15 to 24 years old,,Percent,,35.3
2017,"Proportion of youth not in education, employment or training [8.6.1]",,15 to 24 years old,Urban,Percent,,31.2
2017,"Proportion of youth not in education, employment or training [8.6.1]",,15 to 24 years old,Rural,Percent,,43.3
2017,"Proportion of youth not in education, employment or training [8.6.1]",Province 1,15 to 24 years old,,Percent,NP1,37.3
2017,"Proportion of youth not in education, employment or training [8.6.1]",Madhesh,15 to 24 years old,,Percent,NP2,48.3
2017,"Proportion of youth not in education, employment or training [8.6.1]",Bagmati,15 to 24 years old,,Percent,NP3,20.9
2017,"Proportion of youth not in education, employment or training [8.6.1]",Gandaki,15 to 24 years old,,Percent,NP4,33.0
2017,"Proportion of youth not in education, employment or training [8.6.1]",Lumbini,15 to 24 years old,,Percent,NP5,36.9
2017,"Proportion of youth not in education, employment or training [8.6.1]",Karnali,15 to 24 years old,,Percent,NP6,40.9
2017,"Proportion of youth not in education, employment or training [8.6.1]",Sudurpashchim,15 to 24 years old,,Percent,NP7,37.0
