Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 3 months [1.3.1],,Percent,,38.6
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 3 months [1.3.1],Province 1,Percent,NP1,36.0
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 3 months [1.3.1],Madhesh,Percent,NP2,36.9
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 3 months [1.3.1],Bagmati,Percent,NP3,28.6
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 3 months [1.3.1],Gandaki,Percent,NP4,41.2
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 3 months [1.3.1],Lumbini,Percent,NP5,42.0
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 3 months [1.3.1],Karnali,Percent,NP6,55.2
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 3 months [1.3.1],Sudurpashchim,Percent,NP7,53.8
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 12 months [1.3.1],,Percent,,41.5
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 12 months [1.3.1],Province 1,Percent,NP1,39.2
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 12 months [1.3.1],Madhesh,Percent,NP2,39.1
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 12 months [1.3.1],Bagmati,Percent,NP3,30.5
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 12 months [1.3.1],Gandaki,Percent,NP4,43.9
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 12 months [1.3.1],Lumbini,Percent,NP5,44.8
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 12 months [1.3.1],Karnali,Percent,NP6,60.4
2019,Percentage of household members living in households that received any type of social transfers and benefits in the last 12 months [1.3.1],Sudurpashchim,Percent,NP7,59.0
