Year,SERIES,Reference area,UNIT_MEASURE,GeoCode,Value
1996,Proportion of population living below the national poverty line [1.2.1],,Percent,,30.9
2004,Proportion of population living below the national poverty line [1.2.1],,Percent,,41.8
2010,Proportion of population living below the national poverty line [1.2.1],,Percent,,25.2
2010,Proportion of population living below the national poverty line [1.2.1],Province 1,Percent,NP1,16.7
2010,Proportion of population living below the national poverty line [1.2.1],Madhesh,Percent,NP2,26.7
2010,Proportion of population living below the national poverty line [1.2.1],Bagmati,Percent,NP3,20.6
2010,Proportion of population living below the national poverty line [1.2.1],Gandaki,Percent,NP4,21.0
2010,Proportion of population living below the national poverty line [1.2.1],Lumbini,Percent,NP5,25.3
2010,Proportion of population living below the national poverty line [1.2.1],Karnali,Percent,NP6,38.6
2010,Proportion of population living below the national poverty line [1.2.1],Sudurpashchim,Percent,NP7,45.6
