Year,SERIES,Reference area,Education level,UNIT_MEASURE,GeoCode,Value
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Primary education,Percent,,1.04
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Province 1,Primary education,Percent,NP1,1.0
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Madhesh,Primary education,Percent,NP2,0.98
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Bagmati,Primary education,Percent,NP3,1.17
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Gandaki,Primary education,Percent,NP4,0.96
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Lumbini,Primary education,Percent,NP5,1.02
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Karnali,Primary education,Percent,NP6,1.11
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Sudurpashchim,Primary education,Percent,NP7,0.99
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Lower secondary education,Percent,,1.19
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Province 1,Lower secondary education,Percent,NP1,1.21
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Madhesh,Lower secondary education,Percent,NP2,1.23
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Bagmati,Lower secondary education,Percent,NP3,1.15
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Gandaki,Lower secondary education,Percent,NP4,1.12
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Lumbini,Lower secondary education,Percent,NP5,1.3
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Karnali,Lower secondary education,Percent,NP6,1.26
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Sudurpashchim,Lower secondary education,Percent,NP7,0.94
2014,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Upper secondary education,Percent,,1.02
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",,Upper secondary education,Percent,,1.07
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Province 1,Upper secondary education,Percent,NP1,1.13
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Madhesh,Upper secondary education,Percent,NP2,0.83
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Bagmati,Upper secondary education,Percent,NP3,1.18
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Gandaki,Upper secondary education,Percent,NP4,1.02
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Lumbini,Upper secondary education,Percent,NP5,1.17
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Karnali,Upper secondary education,Percent,NP6,0.97
2019,"Adjusted gender parity index for completion rate, by sex, location, wealth quintile and education level [4.5.1]",Sudurpashchim,Upper secondary education,Percent,NP7,0.93
