Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Female,Percent,,7.9
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Province 1,Female,Percent,NP1,6.6
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Madhesh,Female,Percent,NP2,14.2
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Bagmati,Female,Percent,NP3,2.2
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Gandaki,Female,Percent,NP4,6.8
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Lumbini,Female,Percent,NP5,8.9
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Karnali,Female,Percent,NP6,12.0
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Sudurpashchim,Female,Percent,NP7,8.2
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],,Male,Percent,,1.5
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Province 1,Male,Percent,NP1,0.0
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Madhesh,Male,Percent,NP2,2.1
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Bagmati,Male,Percent,NP3,1.2
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Gandaki,Male,Percent,NP4,0.0
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Lumbini,Male,Percent,NP5,2.4
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Karnali,Male,Percent,NP6,1.7
2019,Proportion of women aged 20-24 years who were married or in a union before age 15 [5.3.1],Sudurpashchim,Male,Percent,NP7,3.0
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Female,Percent,,32.8
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Province 1,Female,Percent,NP1,28.5
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Madhesh,Female,Percent,NP2,46.0
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Bagmati,Female,Percent,NP3,19.7
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Gandaki,Female,Percent,NP4,35.7
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Lumbini,Female,Percent,NP5,33.7
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Karnali,Female,Percent,NP6,44.3
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Sudurpashchim,Female,Percent,NP7,35.6
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],,Male,Percent,,9.0
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Province 1,Male,Percent,NP1,8.1
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Madhesh,Male,Percent,NP2,7.8
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Bagmati,Male,Percent,NP3,7.2
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Gandaki,Male,Percent,NP4,2.1
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Lumbini,Male,Percent,NP5,11.4
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Karnali,Male,Percent,NP6,17.0
2019,Proportion of women aged 20-24 years who were married or in a union before age 18 [5.3.1],Sudurpashchim,Male,Percent,NP7,17.5
